baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_id
A1BG|1	148.409303385915	-0.955071378852048	0.176492822404729	-5.41138934625853	6.25376333426462e-08	2.31169462547737e-07	A1BG|1
A2M|2	31204.1660900019	-0.288856626372675	0.142559542523631	-2.02621740543811	0.042742510770284	0.0660981558566489	A2M|2
NAT1|9	391.050840142407	-0.135142864256361	0.214227575092845	-0.6308378564141	0.528146548022426	0.620259998391037	NAT1|9
NAT2|10	6.62144664292413	-1.05121338362134	0.209921505880668	-5.0076497841956	5.50986707045691e-07	1.79041096000028e-06	NAT2|10
SERPINA3|12	28267.6224878635	0.947841763365078	0.272296429950799	3.48091880432051	0.000499696946004033	0.00106553981254915	SERPINA3|12
AADAC|13	0.731474173066626	0.880150577713612	0.644308111314346	1.36603988411408	0.171926445216031	0.233102726335846	AADAC|13
AAMP|14	7932.78441858202	0.292361286128718	0.0447125141860116	6.53869037452123	6.20598533337945e-11	3.32331950782032e-10	AAMP|14
AANAT|15	0.973838311568704	0.360636813386044	0.277393953974805	1.30008894649088	0.193570485663886	0.258808910510705	AANAT|15
AARS|16	8315.18639154917	0.0341572715728809	0.0639250671203101	0.5343329794022	0.593111178893708	0.683455608275841	AARS|16
ABAT|18	5240.85026745928	0.348381651709641	0.131013608191653	2.65912569326394	0.00783437290493035	0.0138698722472615	ABAT|18
ABCA1|19	1058.12215533245	0.0807338008275331	0.122528030973303	0.658900662862393	0.509959560186707	0.601847749268712	ABCA1|19
ABCA2|20	4690.94118587953	0.615992099472794	0.0763236812015729	8.07078602309475	6.98470335108153e-16	6.85539571918276e-15	ABCA2|20
ABCA3|21	3416.01235277675	0.651115238678711	0.082788506618701	7.86480231703602	3.69680764857616e-15	3.3111343187543e-14	ABCA3|21
ABCB7|22	876.023476538869	0.0658791077969069	0.0458847599276906	1.43575138893012	0.151073096663469	0.20770702769983	ABCB7|22
ABCF1|23	3968.34148513324	0.100780032337619	0.0407148756842997	2.47526317209122	0.0133138029097421	0.0226334649465616	ABCF1|23
ABCA4|24	17.8013845152898	-2.66653951487041	0.218928614119458	-12.1799497319953	3.97526798552882e-34	3.28527504232632e-32	ABCA4|24
ABL1|25	6277.53806700359	-0.091240766101856	0.0573279553356186	-1.59155800285741	0.111484052854483	0.157958495576633	ABL1|25
ABP1|26	1326.65701196861	-1.96584954678476	0.360520177019232	-5.45281421705254	4.95788593806611e-08	1.85463405317273e-07	ABP1|26
ABL2|27	1460.68686864899	0.1904816114089	0.0560695116868299	3.39724041958514	0.00068069134302282	0.00142023104125553	ABL2|27
ABO|28	74.8613050323458	-1.46627937553817	0.27382216582812	-5.3548600461314	8.56226644225859e-08	3.10836505449952e-07	ABO|28
ABR|29	4180.48143828427	-0.277669028989005	0.0530748578594135	-5.23164903662115	1.68004500865205e-07	5.84243374737927e-07	ABR|29
ACAA1|30	6493.55017193793	0.220923739127178	0.0802077906083344	2.75439252785279	0.00588011983294167	0.0106330860526	ACAA1|30
ACACA|31	14244.8598552488	0.806526680355668	0.0975519668231099	8.26766191006825	1.36611644998251e-16	1.46831390462874e-15	ACACA|31
ACACB|32	1090.82121728426	-1.13316664489967	0.114207667011166	-9.92198400120438	3.34049044902082e-23	8.35930109946444e-22	ACACB|32
ACADL|33	1293.98665980482	0.477600158115066	0.187527348225927	2.546829369867	0.0108706571858307	0.0187688690474108	ACADL|33
