baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miRNA_id
hsa-mir-10a	18057.7262665706	-1.42452325071354	0.144710130961143	-9.84397734458582	7.27755579493667e-23	1.04399845858273e-21	hsa-mir-10a
hsa-mir-1224	2.86918208449323	-3.90896913183338	0.330419661313859	-11.8303163809624	2.72114195687873e-32	7.667789299919e-31	hsa-mir-1224
hsa-mir-1251	12.5884598690243	-2.94266970906898	0.22861651538689	-12.8716409839817	6.50062005327954e-38	3.0170524835515e-36	hsa-mir-1251
hsa-mir-1258	5.6499586878982	-1.34698199001024	0.195351098267044	-6.8951851408018	5.37946959800769e-12	4.08115530079622e-11	hsa-mir-1258
hsa-mir-1305	0.486242256208092	-1.13752174630702	0.334586066365795	-3.39978815813386	0.000674380790625415	0.00192784943407048	hsa-mir-1305
hsa-mir-133b	100.15811523422	-1.72877391058129	0.182306378086469	-9.48279445144441	2.47562801051506e-21	3.25545083382731e-20	hsa-mir-133b
hsa-mir-135b	4.72510568243521	-1.12717982807979	0.219313477054496	-5.13958304440954	2.75348780935511e-07	1.20694548976732e-06	hsa-mir-135b
hsa-mir-136	138.611830629024	-1.1120862775287	0.121087191436538	-9.18417765194882	4.14683614656596e-20	5.19341860260403e-19	hsa-mir-136
hsa-mir-143	1611575.221247	-1.28845871949716	0.124329367098165	-10.3632693511571	3.64293098738387e-25	6.24841858488233e-24	hsa-mir-143
hsa-mir-184	12.4118429919903	-2.67853897896939	0.308523396996698	-8.68180178567806	3.89547868883602e-18	4.45439519636466e-17	hsa-mir-184
hsa-mir-187	44.1745720012827	-2.492949413957	0.249174213829924	-10.0048451067195	1.45118607210476e-23	2.16035058658614e-22	hsa-mir-187
hsa-mir-203b	8.32449503551328	-1.58290406833126	0.23297321093939	-6.7943608707143	1.08793749460025e-11	7.87507048843664e-11	hsa-mir-203b
hsa-mir-204	100.280653616862	-1.96883981395558	0.145289169456011	-13.5511808714116	7.79657063199274e-42	5.59226748058389e-40	hsa-mir-204
hsa-mir-205	3611.88049242369	-1.06326598806363	0.220442854157445	-4.82331800741529	1.41189593185592e-06	5.8630836328122e-06	hsa-mir-205
hsa-mir-221	913.252975348719	-1.54523393883918	0.119730316791629	-12.9059538155938	4.16624576867212e-38	2.05447994467644e-36	hsa-mir-221
hsa-mir-222	214.41044166256	-1.22305028279357	0.111152102198703	-11.0033931756609	3.68017930683343e-28	8.2961756374045e-27	hsa-mir-222
hsa-mir-23c	3.96418814826395	-3.1277958728375	0.260566150816007	-12.0038457145807	3.3916283833491e-33	1.11499783102602e-31	hsa-mir-23c
hsa-mir-27b	6836.27608267834	-1.03431994344255	0.0715798903535068	-14.4498676700177	2.51167949671421e-47	3.96343024581502e-45	hsa-mir-27b
hsa-mir-296	4.29213256919608	-1.13202160822627	0.165815525607246	-6.82699405909435	8.67122850067941e-12	6.45433895003402e-11	hsa-mir-296
hsa-mir-3154	0.260901905881532	-1.11552875084446	0.435955443048872	-2.55881367839558	0.010503001727458	0.0245901138366894	hsa-mir-3154
hsa-mir-3193	0.605457024245008	-1.07261383519823	0.285326481372226	-3.75925091158622	0.000170422856800263	0.000531476814290147	hsa-mir-3193
hsa-mir-323a	4.3761965885698	-1.07864387554969	0.150595275539965	-7.16253462588497	7.91988546501716e-13	6.44205116690571e-12	hsa-mir-323a
hsa-mir-323b	4.40813659901181	-2.4962929279979	0.208299936092693	-11.9841271909323	4.30353076762604e-33	1.35819431026278e-31	hsa-mir-323b
hsa-mir-326	10.6267899162668	-1.09193203437454	0.14022339192962	-7.78708901095899	6.85706468055068e-15	6.36496945053469e-14	hsa-mir-326
hsa-mir-3622a	0.989854558122467	-1.07686636459168	0.203977194540829	-5.27934687510438	1.29645169758232e-07	6.05266502599083e-07	hsa-mir-3622a
hsa-mir-378c	27.8182815760732	-1.20371894810079	0.106127773355806	-11.3421671824319	8.11105605560323e-30	1.99988225870967e-28	hsa-mir-378c
hsa-mir-378d-1	1.36336464534762	-2.084102142804	0.191864613364412	-10.8623581298216	1.74191992693297e-27	3.7145265468922e-26	hsa-mir-378d-1
hsa-mir-378d-2	1.87134007387697	-1.86865904719679	0.177755024774895	-10.5125525962668	7.56186194835753e-26	1.42054978029859e-24	hsa-mir-378d-2
hsa-mir-378f	0.165035073541544	-1.19252759250716	0.589552555596586	-2.02276723455199	0.0430971512873197	0.0869658628278651	hsa-mir-378f
hsa-mir-381	173.818919491631	-1.00322404399335	0.0986450797266215	-10.1700363238959	2.69808033145539e-24	4.25757076303661e-23	hsa-mir-381
hsa-mir-3943	1.05140657807446	-1.03451635502922	0.246014580529211	-4.2051017984537	2.60964671180797e-05	8.65130779670793e-05	hsa-mir-3943
hsa-mir-4443	0.630464830188858	-1.08715043430663	0.299157334635516	-3.63404238652943	0.000279014993950126	0.000843459119642334	hsa-mir-4443
hsa-mir-450b	24.1318681709875	-1.28704101439809	0.14947437629327	-8.61044579221325	7.27770073230641e-18	8.08747306730952e-17	hsa-mir-450b
hsa-mir-451a	451.661799129386	-1.01136120060345	0.175160929409491	-5.77389720420523	7.74587031092471e-09	4.0473454803441e-08	hsa-mir-451a
hsa-mir-4705	0.178010428834516	-1.13455764361988	0.574471562377127	-1.97495875848955	0.0482728284028094	0.096179953560143	hsa-mir-4705
hsa-mir-4770	1.21773525809429	-1.46041924188915	0.303583365469018	-4.81060363644394	1.50475155967623e-06	6.15154912219971e-06	hsa-mir-4770
hsa-mir-4786	3.16669719882961	-1.04303887144511	0.148283127551954	-7.03410353332114	2.0054617558326e-12	1.56664289638804e-11	hsa-mir-4786
hsa-mir-486-1	61.3613461007469	-1.13728120185614	0.180896764692654	-6.28690736281765	3.23852488971194e-10	1.95053140304025e-09	hsa-mir-486-1
