baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miRNA_id
hsa-mir-106a	381.201642463022	1.36391865638895	0.141388831585088	9.64657986842573	5.08224954412878e-22	6.91361187985795e-21	hsa-mir-106a
hsa-mir-122	1.30031561470724	2.72550796173764	0.744135399099509	3.66265059428139	0.000249618915538773	0.00075749740138497	hsa-mir-122
hsa-mir-1255a	2.93095585043072	1.12844865318077	0.242186493320441	4.65942025795677	3.17101207443796e-06	1.18574811693438e-05	hsa-mir-1255a
hsa-mir-1269a	116.446662317403	3.53262328799894	0.506674003103405	6.97218184939711	3.12062803421015e-12	2.39046166892408e-11	hsa-mir-1269a
hsa-mir-1269b	6.85231001647747	3.28400234941035	0.833988776721482	3.93770568750361	8.22644071786321e-05	0.000260669145638316	hsa-mir-1269b
hsa-mir-1275	2.01689978963983	1.52314930602609	0.3502033361457	4.34932837245272	1.36555106929284e-05	4.70430379379543e-05	hsa-mir-1275
hsa-mir-1291	2.62145213860437	1.87566890178782	0.281191576093716	6.67043062898404	2.55053914117833e-11	1.74989163686061e-10	hsa-mir-1291
hsa-mir-1304	2.92933275882131	2.14311811944517	0.34008102224071	6.30178686633169	2.94233591778941e-10	1.78577156856603e-09	hsa-mir-1304
hsa-mir-137	6.41327637658222	1.52234674860586	0.460139303898784	3.30844754122705	0.000938147585921971	0.00258810645207145	hsa-mir-137
hsa-mir-141	5592.46757824097	1.12583909457812	0.102053989022663	11.0317990052119	2.68440773938194e-28	6.2294050187422e-27	hsa-mir-141
hsa-mir-146b	1046.3101602111	1.11683242653335	0.111503958909562	10.0160786886427	1.29540971777686e-23	1.96553512947297e-22	hsa-mir-146b
hsa-mir-147b	1.61811293871354	1.19844725792194	0.383902423568811	3.12174965393812	0.00179779745042642	0.00469689466353129	hsa-mir-147b
hsa-mir-148a	241556.455065634	1.33881990312382	0.100984063255085	13.2577345372009	4.07006154799977e-40	2.47021427797832e-38	hsa-mir-148a
hsa-mir-153-1	11.3603955948484	1.82310288786806	0.194969256434595	9.35071980684119	8.70532412585207e-21	1.1078226992415e-19	hsa-mir-153-1
hsa-mir-153-2	140.793441906857	2.37547222651267	0.174077737189095	13.6460426523828	2.13142987718929e-42	1.86855352566928e-40	hsa-mir-153-2
hsa-mir-17	2180.68420571339	1.00395953923604	0.0838773044955391	11.9693824840238	5.14098167707559e-33	1.56009020892794e-31	hsa-mir-17
hsa-mir-182	73773.5703615398	1.84883249064227	0.136132735561325	13.5811014376436	5.18409434317132e-42	4.09025043676217e-40	hsa-mir-182
hsa-mir-183	21893.3486395638	1.88166754347925	0.135320439715947	13.90527216309	5.88426091539091e-44	5.80335232780428e-42	hsa-mir-183
